French,English
partie,part
histoire,history
chercher,search
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
mettre,to put
aucun,no
eux,them
chaque,each
arrivé,come
bébé,baby
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
savais,knew
étaient,were
attention,Warning
pourrais,could
affaire,case
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
main,hand
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
enfant,child
point,point
venu,came
pardon,sorry
venez,come
devant,in front of
vers,towards
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
espère,hope
parti,left
arrêter,Stop
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
plutôt,rather
aura,will have
filles,girls
bureau,office
